bnf_code,Pack,Form
0801010B0AAABAB,25,tablet
0801010B0AAADAD,1,ml
0801010B0AAAFAF,1,capsule
0801010B0AAAGAG,8,vial
0801010F0AAAAAA,25,tablet
0801010Q0AAAAAA,1,capsule
0801010Q0AAABAB,20,capsule
0801010Q0AAADAD,1,capsule
0801010Q0BBACAA,20,capsule
0801010Q0BBADAD,20,capsule
0801010S0AAABAB,25,tablet
0801010S0AAADAD,1,vial
0801020P0AAAFAF,1,vial
0801020P0AAAGAG,1,vial
0801020P0BBACAD,1,capsule
0801020P0BBAEAC,1,capsule
0801020P0BBAFAG,1,vial
0801020P0BBAGAF,1,vial
0801030ACAAAAAA,1,vial
0801030ACAAACAC,1,vial
0801030ACBBAAAA,1,vial
0801030AFBBAAAA,20,tablet
0801030AFBBABAB,20,tablet
0801030AGBBAAAA,84,tablet
0801030T0AAAAAA,25,tablet
0801030T0AAACAC,1,capsule
0801030V0AAAAAA,120,tablet
0801030V0AAABAB,60,tablet
0801030V0AAACAC,60,tablet
0801030W0AAABAB,1,vial
0801030W0AAACAC,1,vial
0801030W0BBAAAA,15,tablet
0801030W0BBABAB,5,vial
0801040D0AAADAD,1,vial
0801040D0AAAFAF,1,vial
0801040D0BBAAAA,20,capsule
0801040D0BBABAB,10,capsule
0801040D0BDAAAG,10,vial
0801040R0AAAAAA,1,vial
0801040R0AAABAB,1,vial
0801040R0AAACAC,1,capsule
0801040R0AAADAD,1,capsule
0801040R0AAAEAE,1,capsule
0801040R0BBAAAA,10,vial
0801040R0BBABAB,10,vial
0801040R0BBACAC,1,capsule
0801040R0BBADAD,1,capsule
0801040R0BBAEAE,1,capsule
0801050AAAAAAAA,60,capsule
0801050AAAAABAB,30,tablet
0801050AAAAACAC,30,tablet
0801050AAAAADAD,30,capsule
0801050AABBABAB,30,tablet
0801050AABBACAC,60,tablet
0801050ABAAAAAA,100,capsule
0801050ABBBAAAA,100,capsule
0801050AEAAAAAA,30,tablet
0801050AEAAABAB,30,tablet
0801050AEAAACAC,30,tablet
0801050AEBBAAAA,30,tablet
0801050AEBBABAB,30,tablet
0801050AEBBACAC,30,tablet
0801050AFAAAEAE,1,vial
0801050AFAAAFAF,1,vial
0801050AFBBACAC,10,capsule
0801050AFBBADAD,10,capsule
0801050AJAAAAAA,112,tablet
0801050AJBBAAAA,112,tablet
0801050AMAAAAAA,28,capsule
0801050AMAAABAB,28,capsule
0801050AMAAACAC,28,capsule
0801050AMAAADAD,28,capsule
0801050AMBBAAAA,28,capsule
0801050AMBBABAB,28,capsule
0801050AMBBACAC,28,capsule
0801050ANAAAAAA,60,tablet
0801050ANAAABAB,60,tablet
0801050ANAAADAD,30,tablet
0801050ANAAAEAE,30,tablet
0801050ANAAAFAF,30,tablet
0801050ANBBAAAA,60,tablet
0801050ANBBABAB,60,tablet
0801050ANBBADAD,30,tablet
0801050ANBBAEAE,30,tablet
0801050ANBBAFAF,30,tablet
0801050ANBBAGAG,99,ml
0801050ANBCAAAH,60,tablet
0801050ANBCABAI,60,tablet
0801050ANBCACAJ,30,tablet
0801050ANBCADAK,30,tablet
0801050ANBCAEAL,30,tablet
0801050ASBBAAAA,112,capsule
0801050ASBBABAB,112,capsule
0801050ASBBACAC,120,capsule
0801050ATBBAAAA,105,tablet
0801050AWAAAAAA,30,tablet
0801050AWBBAAAA,30,tablet
0801050AXBBAAAA,30,tablet
0801050AXBBABAB,30,tablet
0801050AXBBACAC,30,tablet
0801050AZBBAAAA,30,tablet
0801050AZBBABAB,30,tablet
0801050BDBBAAAA,56,tablet
0801050BGBBAAAA,30,tablet
0801050BGBBABAB,30,tablet
0801050BJBBAAAA,56,tablet
0801050BJBBABAB,56,tablet
0801050BJBBACAC,56,tablet
0801050BJBBADAD,56,tablet
0801050BLBBAAAA,28,tablet
0801050BLBBABAB,28,tablet
0801050BLBBACAC,28,tablet
0801050BMBBAAAA,28,capsule
0801050BNBBAAAA,84,tablet
0801050BPBCAAAC,28,tablet
0801050BPBCABAA,28,tablet
0801050BPBCACAB,28,tablet
0801050BPBCADAD,28,tablet
0801050BQBBAAAA,30,tablet
0801050BQBBABAB,30,tablet
0801050BQBBACAC,30,tablet
0801050BRBBAAAA,21,capsule
0801050BRBBABAB,112,capsule
0801050BRBCAAAC,30,tablet
0801050BRBCABAD,30,tablet
0801050BRBCACAE,30,tablet
0801050BSBBABAB,28,tablet
0801050BSBBACAC,28,tablet
0801050BSBBADAD,28,tablet
0801050BSBBAEAE,28,tablet
0801050BTBBAAAA,120,capsule
0801050BTBBABAB,60,capsule
0801050BVBBAAAA,30,capsule
0801050BVBBABAB,30,capsule
0801050BVBCAAAA,30,capsule
0801050BVBCABAB,30,capsule
0801050BWBBAAAA,6,capsule
0801050BWBBABAB,6,capsule
0801050BWBBACAC,6,capsule
0801050BYBBABAB,56,tablet
0801050BYBBACAC,56,tablet
0801050CBBBADAD,21,tablet
0801050CBBBAEAE,21,tablet
0801050CBBBAFAF,21,tablet
0801050CCBBAAAA,3,capsule
0801050CCBBABAB,3,capsule
0801050CCBBACAC,3,capsule
0801050CDBBAAAA,224,capsule
0801050CGBBAAAA,30,tablet
0801050CGBBABAB,30,tablet
0801050CHBBAAAA,30,tablet
0801050CHBBABAB,30,tablet
0801050CIBBAAAA,63,tablet
0801050CJBBAAAA,56,capsule
0801050CLBBAAAA,28,tablet
0801050CLBBABAB,28,tablet
0801050CLBBACAC,28,tablet
0801050CMBBAAAA,42,capsule
0801050CMBBABAB,28,capsule
0801050CNBBAAAA,84,tablet
0801050CPBBAAAA,21,tablet
0801050CPBBABAB,28,tablet
0801050CPBBACAC,28,tablet
0801050CPBBADAD,28,tablet
0801050CQBBAAAA,30,tablet
0801050CQBBABAB,30,tablet
0801050CQBBACAC,30,tablet
0801050CRBBAAAA,21,tablet
0801050CSBBAAAA,120,capsule
0801050U0AAAAAA,50,capsule
0801050Y0AAAAAA,5,capsule
0801050Y0AAABAB,5,capsule
0801050Y0AAACAC,5,capsule
0801050Y0AAADAD,5,capsule
0801050Y0AAAEAE,5,capsule
0801050Y0AAAFAF,5,capsule
0801050Y0BBAAAA,5,capsule
0801050Y0BBABAB,5,capsule
0801050Y0BBACAC,5,capsule
0801050Y0BBADAD,5,capsule
0801050Y0BBAEAE,5,capsule
0801050Y0BBAFAF,5,capsule
0802040AAAAAAAA,28,capsule
0802040AABBAAAA,28,capsule
0802040AIBBAAAA,28,capsule
0802040AIBBABAB,28,capsule
0802040AJBBAAAA,21,capsule
0802040AJBBABAB,21,capsule
0802040AJBBACAC,21,capsule
0802040AJBBADAD,21,capsule
0802040BABBAAAA,21,capsule
0802040BABBABAB,21,capsule
0802040Y0AAAAAA,21,capsule
0802040Y0AAABAB,21,capsule
0802040Y0AAACAC,21,capsule
0802040Y0AAADAD,21,capsule
0802040Y0AAAEAE,21,capsule
0802040Y0AAAFAF,21,capsule
0802040Y0AAAGAG,21,capsule
0802040Y0BBAAAA,21,capsule
0802040Y0BBABAB,21,capsule
0802040Y0BBACAC,21,capsule
0802040Y0BBADAD,21,capsule
0802040Y0BBAEAE,21,capsule
0802040Y0BBAFAF,21,capsule
0802040Y0BBAGAG,21,capsule
0803042T0AAAAAA,120,tablet
0803042T0AAABAB,56,tablet
0803042T0AAACAC,28,tablet
0803042T0BBABAB,56,tablet
0803042U0BBABAB,112,tablet
0803042V0BBAAAA,112,tablet
